sign,freq,initial_rate,medial_rate,final_rate
501,31,0.000,0.065,0.935
817,145,0.028,0.097,0.876
692,52,0.000,0.173,0.827
820,157,0.076,0.153,0.771
503,66,0.015,0.242,0.742
861,169,0.053,0.249,0.698
413,26,0.154,0.231,0.615
920,114,0.026,0.386,0.588
416,36,0.167,0.250,0.583
5,39,0.026,0.410,0.564
13,22,0.045,0.409,0.545
3,160,0.013,0.463,0.525
630,24,0.000,0.500,0.500
806,102,0.010,0.539,0.451
550,78,0.038,0.538,0.423
16,38,0.053,0.526,0.421
803,103,0.000,0.583,0.417
140,74,0.054,0.541,0.405
176,146,0.000,0.596,0.404
235,186,0.005,0.597,0.398
717,35,0.029,0.600,0.371
706,66,0.061,0.591,0.348
31,145,0.097,0.566,0.338
4,65,0.015,0.662,0.323
255,84,0.012,0.667,0.321
575,50,0.020,0.660,0.320
790,29,0.310,0.379,0.310
125,46,0.043,0.652,0.304
61,73,0.000,0.699,0.301
440,34,0.029,0.676,0.294
55,42,0.000,0.714,0.286
142,54,0.037,0.685,0.278
415,112,0.054,0.670,0.277
850,30,0.067,0.667,0.267
705,122,0.016,0.721,0.262
17,54,0.000,0.741,0.259
798,99,0.010,0.737,0.253
0,143,0.112,0.636,0.252
32,260,0.058,0.692,0.250
231,60,0.017,0.733,0.250
388,33,0.000,0.758,0.242
33,209,0.029,0.742,0.230
240,256,0.004,0.777,0.219
590,152,0.053,0.737,0.211
840,81,0.025,0.765,0.210
233,140,0.014,0.786,0.200
455,28,0.071,0.750,0.179
900,79,0.013,0.810,0.177
617,59,0.661,0.169,0.169
892,50,0.360,0.480,0.160
226,26,0.538,0.308,0.154
904,35,0.057,0.800,0.143
236,21,0.381,0.476,0.143
690,69,0.058,0.826,0.116
220,284,0.056,0.835,0.109
742,28,0.071,0.821,0.107
595,28,0.250,0.643,0.107
700,74,0.716,0.189,0.095
350,32,0.031,0.875,0.094
615,55,0.018,0.891,0.091
741,155,0.013,0.897,0.090
482,23,0.087,0.826,0.087
923,37,0.000,0.919,0.081
90,109,0.752,0.183,0.064
460,40,0.025,0.925,0.050
527,47,0.872,0.085,0.043
335,24,0.042,0.917,0.042
368,76,0.355,0.605,0.039
1,153,0.085,0.876,0.039
70,26,0.038,0.923,0.038
158,27,0.444,0.519,0.037
390,200,0.490,0.475,0.035
100,90,0.022,0.944,0.033
760,87,0.011,0.966,0.023
752,44,0.000,0.977,0.023
435,46,0.087,0.891,0.022
2,583,0.036,0.949,0.015
151,67,0.881,0.104,0.015
60,175,0.011,0.977,0.011
405,89,0.360,0.629,0.011
520,233,0.850,0.146,0.004
740,1267,0.683,0.314,0.003
400,328,0.893,0.104,0.003
156,80,0.850,0.150,0.000
154,37,0.784,0.216,0.000
407,100,0.530,0.470,0.000
585,33,0.030,0.970,0.000
845,40,0.000,1.000,0.000
